Timestamp,Latitude,Longitude,Altitude
1694601544129382011,-34.39559797939022,-70.80955124470236,405.33366993402245
1694601544239331828,-34.39559847290098,-70.80955115766086,405.34666295469344
1694601544339916660,-34.39559894969066,-70.80955115815077,405.3561156004711
1694601544430434986,-34.395599461683666,-70.80955129411984,405.3708740660592
1694601544531153223,-34.395599880278404,-70.80955136861186,405.37930094580554
1694601544602212097,-34.395600287043735,-70.80955136094559,405.3926767416646
1694601544695333043,-34.39560073898264,-70.80955136391559,405.4072860461148
1694601544834376672,-34.39560117292431,-70.80955146016016,405.4087124846292
1694601544924883367,-34.39560163571192,-70.80955152146574,405.4256821587724
1694601545044797161,-34.395602113922955,-70.80955158256633,405.4219588754547
1694601545155432799,-34.395602613304284,-70.80955161400267,405.4417825839303
1694601545256859641,-34.395603095271355,-70.80955167722593,405.4557764772989
1694601545326646534,-34.395603539644064,-70.80955169006508,405.46576873130016
1694601545438845840,-34.395604055124046,-70.80955168436377,405.480065996994
1694601545549962024,-34.39560456316424,-70.8095517288369,405.49849971825824
1694601545645347827,-34.395605014908966,-70.80955177406456,405.511602255014
1694601545758408318,-34.395605464688764,-70.8095517549364,405.53687384020793
1694601545835375395,-34.39560595722137,-70.80955175775419,405.5547220226399
1694601545919728133,-34.39560639605504,-70.80955180508215,405.56363338706217
1694601546033835672,-34.39560685110756,-70.80955183563785,405.57410195997267
1694601546144503028,-34.395607294165316,-70.80955185465562,405.5968412500963
1694601546269439025,-34.39560768038097,-70.80955180151253,405.6362675775451
1694601546371998490,-34.395608155989834,-70.80955177932938,405.6708531382455
1694601546464645183,-34.39560858606339,-70.80955186485318,405.66768037299653
1694601546545244514,-34.39560895429698,-70.80955194523271,405.6662786128566
1694601546666979208,-34.395609311993496,-70.80955193185731,405.6643297122703
1694601546770897204,-34.39560973323053,-70.80955194388787,405.6746647827785
1694601546861397006,-34.39561014388397,-70.80955210989713,405.66569551711564
1694601546954797435,-34.395610532287975,-70.80955223408122,405.64885501565635
1694601547075486695,-34.39561092733663,-70.80955238956737,405.61755225685755
1694601547171797431,-34.395611367404676,-70.80955242486338,405.64422429764227
1694601547261676840,-34.3956118058347,-70.80955251533243,405.65521412251155
1694601547354908709,-34.39561227376987,-70.80955265369508,405.65008124214654
1694601547456080661,-34.39561274964012,-70.8095528360319,405.6432053389501
1694601547546596131,-34.395613264120975,-70.80955295834599,405.63882315967504
1694601547665876229,-34.39561376428105,-70.80955310349047,405.63244050800876
1694601547773970109,-34.39561424222472,-70.80955324021718,405.6363975540508
1694601547845280214,-34.39561475932689,-70.80955337363048,405.62852684810764
1694601547945945884,-34.39561526379321,-70.8095535304375,405.62197097053496
1694601548036478816,-34.395615794468426,-70.80955363943622,405.63202179788993
1694601548159245049,-34.39561635465832,-70.80955376885221,405.6229068259212
1694601548267815686,-34.39561687485669,-70.80955386052511,405.61199842491726
1694601548374043632,-34.395617263619535,-70.80955391765714,405.624541902295
1694601548490306246,-34.39561768906514,-70.80955389568126,405.652740779831
1694601548570774425,-34.39561806721987,-70.80955389212214,405.66807452682605
1694601548658634168,-34.39561846211706,-70.80955386801823,405.6939340506738
1694601548749191464,-34.39561888524015,-70.80955387886266,405.71142680005465
1694601548836522864,-34.39561933981411,-70.80955397833748,405.7184214554246
1694601548960074071,-34.395619695854734,-70.8095540978407,405.7176644486788
1694601549141199324,-34.39562011771988,-70.80955419801404,405.71844064455166
1694601549280196417,-34.39562057972518,-70.80955430874354,405.7124800546822
1694601549403186701,-34.395621027265776,-70.80955439380301,405.7102701833292
1694601549403186701,-34.395621464051914,-70.80955448743539,405.7183417542035
1694601549504319570,-34.39562192746363,-70.80955462521587,405.725557169195
1694601549637683025,-34.39562232549325,-70.80955476421174,405.7199032944039
1694601549772565215,-34.395622614809476,-70.8095548263726,405.71793812882896
1694601549910185784,-34.395622936297144,-70.80955485720659,405.71643135936824
1694601549910185784,-34.395623179074526,-70.80955486568675,405.72739184157393
1694601550023213493,-34.39562343755044,-70.80955494648911,405.72909292950555
1694601550146931066,-34.39562365805653,-70.80955503119307,405.7229182857777
1694601550277725312,-34.39562392247325,-70.80955515199807,405.7234466056738
1694601550418604548,-34.395624175578725,-70.80955524242356,405.72138860044726
1694601550418604548,-34.39562447118771,-70.80955528402976,405.71001029990657
1694601550622411944,-34.39562480066016,-70.80955531931151,405.72462438212165
1694601550722976456,-34.39562517608019,-70.80955539043075,405.73958851646324
1694601550789741256,-34.39562553080267,-70.80955536228156,405.73526846365195
1694601550869200839,-34.395625902077605,-70.80955534017313,405.72016183326457
1694601551073037407,-34.39562629760188,-70.80955536579673,405.7340326668612
1694601551103478559,-34.39562668910672,-70.80955533052337,405.7596615781341
1694601551254359842,-34.39562706301786,-70.80955525772457,405.7448871569402
1694601551264605427,-34.39562738482612,-70.80955518691324,405.7453853749748
1694601551417934395,-34.39562767169766,-70.8095552149704,405.7354189773978
1694601551579413581,-34.3956279671171,-70.80955526563068,405.71423331329714
1694601551579413581,-34.39562828999254,-70.80955531916352,405.70357362684865
1694601551772232313,-34.39562855405787,-70.809555346451,405.6915097344599
1694601551772232313,-34.39562886205612,-70.80955548762812,405.6351424114219
1694601551973387446,-34.39562916006128,-70.8095556725523,405.58484386964216
1694601551973387446,-34.39562940696943,-70.80955579364371,405.5320956734913
1694601552153886656,-34.39562970036894,-70.80955594375165,405.4695157084218
1694601552153886656,-34.3956299825833,-70.80955607713737,405.4183614527668
1694601552335736681,-34.39563023490707,-70.80955620940563,405.3825166510137
1694601552561408673,-34.39563048704158,-70.80955618121193,405.3796163933072
1694601552561408673,-34.395630779861754,-70.8095561116348,405.3629086045089
1694601552762775086,-34.3956310920395,-70.80955628955778,405.2977928699196
1694601552762775086,-34.39563136717386,-70.80955644017845,405.2548895119407
1694601552997169931,-34.395631753637865,-70.80955658996741,405.19790961356745
1694601552997169931,-34.39563216189094,-70.80955663930926,405.17166571691075
1694601552997169931,-34.39563257142608,-70.80955667270203,405.1634344840268
1694601553248825611,-34.39563296432085,-70.80955666130788,405.1521274901223
1694601553265435749,-34.395633318857875,-70.80955671190635,405.1349509936963
1694601553442276375,-34.39563363492921,-70.80955676110693,405.113993597
1694601553442276375,-34.39563399248832,-70.80955679295376,405.09413401954055
1694601553596373515,-34.39563436393351,-70.80955678296678,405.0891484930146
1694601553596373515,-34.39563461247563,-70.80955679717864,405.0862841455901
1694601553836756781,-34.3956349089461,-70.80955684499088,405.08236381341464
1694601553836756781,-34.39563520525276,-70.8095569031626,405.06351499054
1694601554002760523,-34.395635514063564,-70.80955689965978,405.04620755379176
1694601554002760523,-34.39563584478302,-70.80955691231915,405.0400471461625
1694601554166853408,-34.3956361558999,-70.80955699897177,405.01198858153043
1694601554166853408,-34.39563642294527,-70.80955713566449,404.982950615578
1694601554351707541,-34.39563665711713,-70.8095572368515,404.9787797054198
1694601554556099560,-34.395636939201566,-70.8095572738854,404.97874388045136
1694601554556099560,-34.395637220970606,-70.8095572485059,404.9855903678844
1694601554743099822,-34.39563755981801,-70.80955720533613,405.0063392689376
1694601554743099822,-34.3956379271105,-70.8095572516922,405.01575749251515
1694601554925277830,-34.39563828946772,-70.80955740949064,405.01388714276436
1694601554925277830,-34.39563861240012,-70.80955750222569,405.00365796273803
1694601555125103365,-34.39563897870497,-70.80955758617031,404.9941385930909
1694601555125103365,-34.39563940971951,-70.80955772344197,404.9923188328225
1694601555310633081,-34.395639875975846,-70.80955784815717,405.0158288541951
1694601555354496544,-34.395640321016415,-70.80955796578488,405.02422817585386
1694601555516926359,-34.39564080707812,-70.80955798407486,405.04594369429617
1694601555537102499,-34.39564131879005,-70.80955799336854,405.0522923729551
1694601555745683326,-34.395641749757864,-70.80955803430088,405.0815067506017
1694601555745683326,-34.3956422213207,-70.80955821999055,405.0763206252147
1694601555946849327,-34.39564269433522,-70.80955836385954,405.0802613964772
1694601555946849327,-34.395643121926064,-70.80955840834791,405.08410936079
1694601556109368806,-34.39564355189393,-70.80955844982722,405.0902964563585
1694601556109368806,-34.39564411354435,-70.80955856482194,405.10670570414163
1694601556308260332,-34.39564461986274,-70.80955870683646,405.122393418972
1694601556330454066,-34.39564503843956,-70.80955875229287,405.1571168751575
1694601556472857003,-34.39564543502579,-70.80955873378842,405.19837395860696
1694601556496921350,-34.395645902089484,-70.80955880917337,405.2180174832293
1694601556637039233,-34.39564634667473,-70.80955891721557,405.2325728327348
1694601556637039233,-34.3956468091088,-70.8095589868515,405.2491116908729
1694601556800737150,-34.39564728014028,-70.80955901452579,405.25534809778935
1694601557017844628,-34.395647736503506,-70.80955906830305,405.2638807557546
1694601557017844628,-34.39564827551586,-70.80955912958085,405.28285160480743
1694601557206976362,-34.395648792712194,-70.80955911187384,405.2888219098881
1694601557206976362,-34.39564935531682,-70.80955909008021,405.302740673598
1694601557399733127,-34.395649850723935,-70.80955912447607,405.31984894732585
1694601557424110389,-34.39565039729573,-70.80955916833639,405.32541694407365
1694601557595097360,-34.39565091361404,-70.80955909576323,405.35010018016237
1694601557617323955,-34.395651337983004,-70.80955903727047,405.36786752496556
1694601557787539126,-34.395651819674676,-70.80955914469864,405.37455941625063
1694601557787539126,-34.39565228700287,-70.80955919551613,405.38525803220654
1694601557960803237,-34.395652793450246,-70.80955911500978,405.41501987299915
1694601557988204425,-34.39565327531978,-70.80955906819307,405.445448148971
1694601558160381406,-34.3956536776998,-70.80955899871279,405.47469348329577
1694601558160381406,-34.39565404518033,-70.80955897483362,405.50651965799045
1694601558374767485,-34.395654470645354,-70.80955893907523,405.53884042389694
1694601558549236454,-34.395654928432826,-70.80955890413759,405.5595442943918
1694601558549236454,-34.39565537097733,-70.80955892085704,405.5942588423648
1694601558549236454,-34.395655706963126,-70.80955895809811,405.61466364788464
1694601558783378500,-34.39565607865766,-70.8095589447362,405.62708872077314
1694601558808616276,-34.39565649720681,-70.80955886784652,405.6432600424692
1694601558959450209,-34.395656879494744,-70.80955882478962,405.6441408109809
1694601558977692540,-34.39565724211611,-70.80955882976286,405.6558738380211
1694601559098393228,-34.39565766967421,-70.80955881627666,405.67081059862795
1694601559250537563,-34.39565811412643,-70.80955877270607,405.69067608479793
1694601559250537563,-34.395658520502565,-70.80955866045043,405.7107063799698
1694601559387764604,-34.395658919107895,-70.80955862371948,405.7239722580207
1694601559564053682,-34.3956594079504,-70.80955858933015,405.70082014787397
1694601559588101879,-34.39565992689569,-70.80955857768159,405.68633573922455
1694601559714480265,-34.39566034609333,-70.80955858734922,405.6911109574195
1694601559855286072,-34.39566082777734,-70.80955862325241,405.6762077422281
1694601559855286072,-34.39566130100229,-70.80955867751831,405.66522676898734
1694601560027243909,-34.39566168916726,-70.80955873127888,405.6679285887479
1694601560027243909,-34.39566212147827,-70.80955883448868,405.6689121622152
1694601560236347527,-34.39566259649408,-70.80955891459898,405.678847783875
1694601560337030144,-34.395663042228264,-70.80955896011147,405.7055384596154
1694601560369522200,-34.395663611560074,-70.80955898389526,405.7162871593469
1694601560470088163,-34.39566417265918,-70.80955903433653,405.71556544712575
1694601560618911425,-34.39566475381022,-70.80955912711514,405.7171059302644
1694601560618911425,-34.39566526695051,-70.80955919011345,405.7440346575121
1694601560790249151,-34.39566578967367,-70.80955925740922,405.7558254118157
1694601560933189426,-34.39566634305691,-70.80955932789867,405.7489705176683
1694601560933189426,-34.39566683468599,-70.80955941318999,405.7591476207664
1694601561024617703,-34.395667315398256,-70.80955944289236,405.7567910658532
1694601561217588981,-34.395667853082074,-70.80955944484427,405.75925002347543
1694601561232915607,-34.395668383367095,-70.80955950715013,405.7540717914895
1694601561379064927,-34.395668870308,-70.80955958800686,405.74815987662095
1694601561548726207,-34.39566930485706,-70.80955958646157,405.7664767623494
1694601561548726207,-34.39566979470895,-70.8095596145239,405.78561246392877
1694601561639286958,-34.39567027219256,-70.8095597186542,405.78289422019594
1694601561731510768,-34.39567079292473,-70.80955987265688,405.79655471212914
1694601561876037873,-34.395671315841994,-70.80955998971947,405.81470198088465
1694601561976677251,-34.39567177424982,-70.8095600605802,405.8212839720833
1694601562089970326,-34.39567226001294,-70.80956016578526,405.8291332906716
1694601562089970326,-34.39567275534773,-70.80956026431187,405.8397450586376
1694601562219120863,-34.39567320148359,-70.80956033257125,405.8452564997806
1694601562339860221,-34.395673663562135,-70.80956042297515,405.8492356675237
1694601562448186916,-34.39567411213618,-70.80956047845964,405.8424186585826
1694601562567355453,-34.395674604147466,-70.80956058104735,405.8410568738801
